"paper_title","author_name","is_first_author"
"A Computational Study of Empty Space Ratios in Chinese Landscape Painting, 618–2011","Shuyang Wu",False
"A Computational Study of Empty Space Ratios in Chinese Landscape Painting, 618–2011","Guoyan Wang",False
"A Computational Study of Empty Space Ratios in Chinese Landscape Painting, 618–2011","Yena Ma",False
"A Computational Study of Empty Space Ratios in Chinese Landscape Painting, 618–2011","Jiafei Shen",False
"A Computational Study of Empty Space Ratios in Chinese Landscape Painting, 618–2011","Mengmeng Yue",False
"A Computer-Aided Design Tool for Muqarnas","Sevde Gülizar Dinçer",True
"A Computer-Aided Design Tool for Muqarnas","Mustafa Korumaz",False
"A Computer-Aided Design Tool for Muqarnas","Tuğrul Yazar",False
"A Computer-aided Multimodal Music Learning System with Curriculum: A Pilot Study","Daniel Chin",True
"A Computer-aided Multimodal Music Learning System with Curriculum: A Pilot Study","Gus Xia",False
"A Concert in a Vanished Church: Contextualizing Peace Island's Auditory History with Modern Technology","Tak Cheung Hui",True
"A Concert in a Vanished Church: Contextualizing Peace Island's Auditory History with Modern Technology","Yuchia Kuo",False
"A datalogical reading of online performance","Joanne Scott",True
"A Digital Approach to Revisiting the Byzantine Past of Al-Madrassa Al-Halawiyya in Aleppo","Nikolas Bakirtzis",False
"A Digital Approach to Revisiting the Byzantine Past of Al-Madrassa Al-Halawiyya in Aleppo","Georgios Artopoulos",False
"A Digital Approach to Revisiting the Byzantine Past of Al-Madrassa Al-Halawiyya in Aleppo","Rahaf Orabi",True
"A Dimension Space for the Evaluation of Accessible Digital Musical Instruments","Federico Avanzini",False
"A Dimension Space for the Evaluation of Accessible Digital Musical Instruments","Nicola Davanzo",True
"A Ding Ontology of Chinese Bronze","Tong Wei",True
"A Ding Ontology of Chinese Bronze","Yuqi Chen",False
"A FLexible Musical Instrument Augmentation that is Programmable, Integrated in a Box (FLAPIBox)","Erik Stifjell",True
"A Forest of Symbols: Art, Science, and Truth in the Long Nineteenth Century","Jan Baetens",True
"A forgotten, almost lost, and partially hidden piece of history: new media arts in Latin America","Ricardo Dal Farra",True
"A Framework for the Design and Analysis of Mixed Reality Musical Instruments","Charlie Roberts",False
"A Framework for the Design and Analysis of Mixed Reality Musical Instruments","Karitta Christina Zellerbach",True
"A Generative Model for the Mycenaean Linear B Script and Its Application in Infilling Text from Ancient Tablets","Katerina Papavassileiou",True
"A Generative Model for the Mycenaean Linear B Script and Its Application in Infilling Text from Ancient Tablets","Gareth Owens",False
"A Generative Model for the Mycenaean Linear B Script and Its Application in Infilling Text from Ancient Tablets","Dimitrios I Kosmopoulos",False
"A Grain of: A Multimodal Representation of the City’s Ecology Through Material and Sound","Hanyu Qu",False
