"university_name","total_score"
"University of Science and Technology of China","223.17924154019314765"
"Swinburne University of Technology","218.5252898200345432"
"Zhejiang Sci-Tech University","218.2217439194000986"
"University of Illinois Urbana-Champaign","218.1640828649158301"
"University of the Arts Helsinki","216.9070246428542570"
"University of Westminster","216.9070246428542570"
"University of Ioannina","216.90702464285425700000"
"University of Nebraska-Lincoln","216.9070246428542570"
"National and Kapodistrian University of Athens","216.9070246428542570"
"University of Bologna","212.4419585108403496"
"San Jose State University","210.7233998091552655"
"Manchester Metropolitan University","210.0000000000000000"
"University of Applied Sciences and Arts Northwestern Switzerland","210.00000000000000000"
"Virginia Commonwealth University","206.9323441926606939"
"Université du Québec à Chicoutimi","206.9070246428542570"
"Nanyang Technological University","206.9070246428542570"
"Illinois State University","205.9807570180405536"
"University of Southern California","205.7755633217896212"
"University of Pisa","203.28357594757692300"
"University of Plymouth","202.9600306724796468"
"Sun Yat-sen University","202.1607846696311468"
"University of Sussex","198.1868142546925740"
"King Juan Carlos University","195.0000000000000000"
"Carleton University","194.3189261301844962"
"Czech Technical University in Prague","193.8140492857085140"
"University of Utah","193.8140492857085140"
"Malmö University","193.8140492857085140"
"Kyushu University","193.4535123214271286"
"University of Chile","190.7463934783692079"
"Oslo Metropolitan University","189.5581463775506082"
"Tianjin Normal University","189.3887684036690633"
"Federal University of Rio de Janeiro","188.8140492857085140"
"University of Ljubljana","188.4535123214271287"
"Institute of Advanced Media Arts and Sciences","187.5643842811271778"
"Leiden University","186.9070246428542570"
"University of North Carolina at Chapel Hill","186.6666666666666666"
"Rhode Island School of Design","183.8953659438765205"
"University of Hertfordshire","183.4134526587291968"
"Kadir Has University","180.0000000000000000"
"University of Kashmir","180.0000000000000000"
"University of South Carolina","180.0000000000000000"
"University of Warsaw","180.0000000000000000"
"Lehigh University","180.0000000000000000"
"University of Malta","180.0000000000000000"
"University of Tours","179.8082004505002504"
"Freie Universität Berlin","178.32169954784115100"
"Hanyang University","177.5643842811271778"
"Emily Carr University of Art and Design","177.5643842811271778"
"Peking University","177.5068597860754838"
"The University of Auckland","176.9323441926606939"
"College of Charleston","176.9323441926606939"
"Jilin University","174.9253175400229017"
"Sungkyunkwan University","174.6409939600700237"
"University of Antwerp","173.9496398537895119"
"University of Amsterdam","173.20097039343214545"
"National Yang Ming Chiao Tung University","172.5511743399087490"
"University of Greenwich","171.9548243414150244"
"Sorbonne Université","171.31404928570851400"
"AVANS University of Applied Sciences","170.0000000000000000"
"Southern University of Science and Technology","170.0000000000000000"
"Bogazici University","170.0000000000000000"
"Curtin University","168.97744806422023130000"
"Syracuse University","168.0181357539653681"
"LUCA School of Arts","167.9046978857558205"
"University of Helsinki","167.3645802899496722"
"Université Grenoble Alpes","166.1747761331167541"
"The New School","166.1122494799604985"
"University of Trento","162.4404796903777961"
"Soongsil University","161.2131525262109488"
"Università di Padova","160.0000000000000000"
"Oregon State University","158.8477393619870140"
"Deakin University","158.2376733693326796"
"De Montfort University","157.1093517368211214"
"University of Bayreuth","156.9070246428542570"
"University of Lincoln","156.9070246428542570"
"University of Warwick","156.9070246428542570"
"University of Southampton","156.9070246428542570"
"Adam Mickiewicz University","156.9070246428542570"
"University of Urbino","156.9070246428542570"
"Sabancı University","156.9070246428542570"
"Georgetown University","156.9070246428542570"
"University of Essex","156.9070246428542570"
"University of Leeds","156.9070246428542570"
"Federal University of Amazonas","154.8872403211011565"
"University of Potsdam","154.00906787698268415"
"Aristotle University of Thessaloniki","152.89359923662106200"
"Kyiv National University of Culture and Arts","150.6573596382729208"
"ShanghaiTech University","150.0000000000000000"
"Masaryk University","150.0000000000000000"
"TU Wien","150.0000000000000000"
"Communication University of China","149.1427291048449744"
"Korea University","146.9323441926606939"
"Université Paris Cité","145.2423438873546335"
"University of South Wales","145.0000000000000000"
"University of Bogotá Jorge Tadeo Lozano","145.0000000000000000"
"Sheffield Hallam University","145.0000000000000000"
"University of Castilla-La Mancha","145.0000000000000000"
"Ludwig-Maximilians-University, Munich","143.7218100802752891"
"University of Western Australia","143.32809286762506660000"
"Northwestern University","141.5415950129649368"
"National Cheng Kung University","141.4090721539520338"
"University of North Carolina at Charlotte","141.0443117173862643"
"University of Vienna","140.0000000000000000"
"Politecnico di Milano","140.0000000000000000"
"Charles University","140.0000000000000000"
"Sapienza University of Rome","139.74436201605505785"
"Pennsylvania State University","138.9774480642202313"
"Sogang University","138.9774480642202313"
"Pratt Institute","138.9774480642202313"
"Auckland University of Technology","138.9774480642202313"
"Università Politecnica delle Marche","136.6433990956823020"
"Universidad de los Andes","135.3286798191364604"
"Technical University of Cluj-Napoca","135.3286798191364604"
"Brunel University","135.3286798191364604"
"University of Lodz","135.0000000000000000"
"University of Manchester","131.9615140360811072"
"University of Nottingham Ningbo China","131.91335453030586630"
"University of Roehampton","131.11111111111111110000"
"Universidade Estadual de Campinas","130.9860394574093812"
"University of Catania","129.8082004505002504"
"Iowa State University","129.4887240321101157"
"University of Colorado Denver","128.7371250542002350"
"University of Basel","128.45351232142712850"
"University of Wollongong","127.5643842811271778"
"Dresden University of Technology","126.9070246428542570"
"Academy of Arts and Design, Tsinghua University","126.5490427501529980"
"Bezalel Academy of Arts and Design","125.3286798191364604"
"Humboldt University of Berlin","124.47766394932050335"
"Kansas State University","124.3792812891977825"
"Universitat de València","124.3792812891977825"
"University of Cyprus","123.97744806422023130"
"University of British Columbia","123.86999878336484270000"
"University of Minnesota","123.7066086441195756"
"Universitat Politècnica de Catalunya","122.8758562578395565"
"Xi’an Polytechnic University","122.1896406445988913"
"University of Victoria","121.9070246428542570"
"University of Milan","121.3147192765458416"
"National Taiwan University of Science and Technology","121.3147192765458416"
"Shanghai University","121.3147192765458416"
"Keio University","121.3147192765458416"
"Southeast University","121.3147192765458416"
"University of Augsburg","121.3147192765458416"
"LUT University","121.3147192765458416"
"Nanjing Agricultural University","121.3147192765458416"
"Lanzhou University","120.0873292032512636"
"Birmingham City University","120.0000000000000000"
"University of Manitoba","120.0000000000000000"
"Florida Atlantic University","120.0000000000000000"
"Southern Cross University","120.0000000000000000"
"University of Exeter","120.0000000000000000"
"Bowling Green State University","120.0000000000000000"
"Rensselaer Polytechnic Institute","120.0000000000000000"
"Shenkar College of Engineering, Design and Art","120.0000000000000000"
"University of Udine","120.0000000000000000"
"Karlsruhe Institute of Technology","120.0000000000000000"
"Dundalk Institute of Technology","120.0000000000000000"
"Universidad Nacional de Tres de Febrero","120.0000000000000000"
"California Institute of the Arts","120.0000000000000000"
"Universidade Lusófona","120.0000000000000000"
"The University of Glasgow","120.0000000000000000"
"University of Delaware","120.0000000000000000"
"Istanbul Technical University","120.0000000000000000"
"University of Turin","120.0000000000000000"
"Universidade Federal de Ouro Preto","120.0000000000000000"
"Technological University Dublin","120.0000000000000000"
"University of Minho","120.0000000000000000"
"University of Miami","120.0000000000000000"
"Tianjin University","118.6744391326518246"
"Fontys University of Applied Sciences","116.9323441926606939"
"Nanjing University","116.9323441926606939"
"Arts & Métiers Sciences et Technologies","116.9323441926606939"
"University of the Aegean","116.9323441926606939"
"Kyiv National University of Technologies and Design","116.9323441926606939"
"University of Jaén","116.9323441926606939"
"The University of Utah","115.5062807098490790"
"University of Crete","115.00000000000000000"
"Södertörn University","115.0000000000000000"
"Université Paris Sud","112.9930197287046906"
"Leipzig University","112.95489612844046260"
"Léonard de Vinci Pôle Universitaire","112.3645802899496723"
"Università di Firenze","112.2357044619907174"
"King Abdulaziz University","111.5034250313582260"
"Vietnam National University, Hanoi","111.5034250313582260"
"Politecnico di Torino","111.5034250313582260"
"Bern University of the Arts","110.0000000000000000"
"University of Pretoria","110.0000000000000000"
"National Taiwan Normal University","110.0000000000000000"
"The Chinese University of Hong Kong, Shenzhen","110.0000000000000000"
"University of Málaga","110.0000000000000000"
"Nanjing Forestry University","110.0000000000000000"
