"name"
"ACM C&C 2021"
"ACM C&C 2022"
"ACM C&C 2023"
"ACM C&C 2024"
"ACM CHI 2023"
"ACM CHI 2024"
"ACM Multimedia 2020"
"ACM Multimedia 2021"
"ACM Multimedia 2022"
"ACM Multimedia 2023"
"ACM Siggraph 2020"
"ACM Siggraph 2021"
"ACM Siggraph 2022"
"ACM Siggraph 2023"
"ACM Siggraph 2024"
"ACM Siggraph Asia 2019"
"ACM Siggraph Asia 2023"
"ACM TEI 2021"
"ACM TEI 2022"
"ACM TEI 2023"
"ACM TEI 2024"
"ACM UIST 2021"
"ACM UIST 2022"
"ACM UIST 2023"
"Digital Creativity, Volume 33, Issue 1 (2022)"
"Digital Creativity, Volume 33, Issue 2 (2022)"
"Digital Creativity, Volume 33, Issue 3 (2022)"
"Digital Creativity, Volume 33, Issue 4 (2022)"
"Digital Creativity, Volume 34, Issue 1 (2023)"
"Digital Creativity, Volume 34, Issue 2 (2023)"
"Digital Creativity, Volume 34, Issue 3 (2023)"
"Digital Creativity, Volume 34, Issue 4 (2023)"
"Digital Creativity, Volume 35, Issue 1 (2024)"
"Digital Creativity, Volume 35, Issue 2 (2024)"
"Digital Creativity, Volume 35, Issue 3 (2024)"
"Digital Creativity, Volume 35, Issue 4 (2024)"
"International Journal of Performance Arts and Digital Media, Volume 16, Issue 1 (2020)"
"International Journal of Performance Arts and Digital Media, Volume 16, Issue 2 (2020)"
"International Journal of Performance Arts and Digital Media, Volume 16, Issue 3 (2020)"
"International Journal of Performance Arts and Digital Media, Volume 17, Issue 1 (2021)"
"International Journal of Performance Arts and Digital Media, Volume 17, Issue 2 (2021)"
"International Journal of Performance Arts and Digital Media, Volume 17, Issue 3 (2021)"
"International Journal of Performance Arts and Digital Media, Volume 18, Issue 1 (2022)"
"International Journal of Performance Arts and Digital Media, Volume 18, Issue 2 (2022)"
"International Journal of Performance Arts and Digital Media, Volume 18, Issue 3 (2022)"
"International Journal of Performance Arts and Digital Media, Volume 19, Issue 1 (2023)"
"International Journal of Performance Arts and Digital Media, Volume 19, Issue 2 (2023)"
"International Journal of Performance Arts and Digital Media, Volume 19, Issue 3 (2023)"
"International Journal of Performance Arts and Digital Media, Volume 20, Issue 1 (2024)"
"International Journal of Performance Arts and Digital Media, Volume 20, Issue 2 (2024)"
"ISEA 2019"
"ISEA 2020"
"ISEA 2022"
"ISEA 2023"
"Journal of Science and Technology of the Arts Vol 13 No 1 (2021)"
"Journal of Science and Technology of the Arts Vol 13 No 2 (2021)"
"Journal of Science and Technology of the Arts Vol 13 No 3 (2021)"
"Journal of Science and Technology of the Arts Vol 14 No 1 (2022)"
"Journal of Science and Technology of the Arts Vol 14 No 2 (2022)"
"Journal of Science and Technology of the Arts Vol 14 No 3 (2022)"
"Journal of Science and Technology of the Arts Vol 15 No 1 (2023)"
"Journal of Science and Technology of the Arts Vol 15 No 2 (2023)"
"Journal on Computing and Cultural Heritage Volume 16, Issue 1"
"Journal on Computing and Cultural Heritage Volume 16, Issue 2"
"Journal on Computing and Cultural Heritage Volume 16, Issue 3"
"Journal on Computing and Cultural Heritage Volume 16, Issue 4"
"Journal on Computing and Cultural Heritage Volume 17, Issue 1"
"Journal on Computing and Cultural Heritage Volume 17, Issue 2"
"Journal on Computing and Cultural Heritage Volume 17, Issue 3"
"Leonardo - Volume 53 Issue 1"
"Leonardo - Volume 53 Issue 2"
"Leonardo - Volume 53 Issue 3"
"Leonardo - Volume 53 Issue 4"
"Leonardo - Volume 53 Issue 5"
"Leonardo - Volume 54 Issue 1"
"Leonardo - Volume 54 Issue 2"
"Leonardo - Volume 54 Issue 3"
"Leonardo - Volume 54 Issue 4"
"Leonardo - Volume 54 Issue 5"
"Leonardo - Volume 54 Issue 6"
"Leonardo - Volume 55 Issue 1"
"Leonardo - Volume 55 Issue 2"
"Leonardo - Volume 55 Issue 3"
"Leonardo - Volume 55 Issue 5"
"Leonardo - Volume 55 Issue 6"
"Leonardo - Volume 56 Issue 1"
"Leonardo - Volume 56 Issue 2"
"Leonardo - Volume 56 Issue 3"
"Leonardo - Volume 56 Issue 4"
"Leonardo - Volume 56 Issue 5"
"Leonardo - Volume 56 Issue 6"
"Leonardo - Volume 57 Issue 1"
"Leonardo - Volume 57 Issue 2"
"Leonardo - Volume 57 Issue 3"
"Leonardo - Volume 57 Issue 4"
"Leonardo - Volume 57 Issue 5"
"NIME 2020"
"NIME 2021"
"NIME 2022"
"NIME 2023"
"NIME 2024"
"Technoetic Arts 18.2-3"
"Technoetic Arts 19.1-2"
"Technoetic Arts 19.3"
"Technoetic Arts 20.1-2"
"Technoetic Arts 20.3"
"Technoetic Arts 21.1"
"Technoetic Arts 21.2"
"Technoetic Arts 22.1"
"VISAP 2020"
"VISAP 2021"
"VISAP 2022"
"VISAP 2023"
"VISAP 2024"
