"author_name","university_name"
"Johannes Schickling","Anthropic"
"Nicholas Schiefer","Anthropic"
"Stahl Stenslie","Anthropocene Cookbook"
"Zane Cerpina","Anthropocene Cookbook"
"Taekyeom Lee","Appalachian State University"
"Jeffrey Nichols","Apple"
"Mark Levy","Apple"
"Jeffrey Bigham","Apple"
"Eldon Schoop","Apple"
"Amanda Swearngin","Apple"
"Jooyoung Oh","ArchCave"
"Kerstin Arnold","Archives Portal Europe Foundation"
"Joseph A. Insley","Argonne National Laboratory"
"Tasos Angelopoulos","Aristotle University of Thessaloniki"
"Panagiota Koulali","Aristotle University of Thessaloniki"
"Kalliopi Valsamidou","Aristotle University of Thessaloniki"
"Panayiota Konstantinakou","Aristotle University of Thessaloniki"
"Panagiotis Dafiotis","Aristotle University of Thessaloniki"
"Seth Thorn","Arizona State University"
"Sujin Kim","Arizona State University"
"Rachel Bowditch","Arizona State University"
"Danah Henriksen","Arizona State University"
"Byron Lahey","Arizona State University"
"Yumeng Xie","Arizona State University"
"Pamela Winfrey","Arizona State University"
"Karen Jean Martinson","Arizona State University"
"G. Mauricio Mejía","Arizona State University"
"Weidi Zhang","Arizona State University"
"Punya Mishra","Arizona State University"
"Lauren Hayes","Arizona State University"
"Carlo Maley","Arizona State University"
"Meredith Drum","Arizona State University"
"Stacey Kuznetsov","Arizona State University"
"Jenny Strickland","Arizona State University"
"Athena Aktipis","Arizona State University"
"Todd Ingalls","Arizona State University"
"Jennifer Weiler","Arizona State University"
"Jean Olivier Gransard-Desmond","ArkéoTopia"
"Arthur R. Woods","Ars Astronautica"
"Hermen J. Maat","Art and Science Studio LancelMaat"
"Karen A. Lancel","Art and Science Studio LancelMaat"
"Andrea M. Frank","Art Eye-D Associates LLC"
"Steven J. Frank","Art Eye-D Associates LLC"
"Alexandre Quessy","Art Plus Code Inc"
"Martin Lukas Ostachowski","ArtbyMLO"
"Sylvain Martet","ARTENSO"
"Jonathan Rouleau","ARTENSO"
"Agnieszka Anna Wołodźko","ArtEZ University of the Arts"
"Flóra Barkóczi","Artpool Art Research Center"
"Olivier Christmann","Arts & Métiers Sciences et Technologies"
"Sylvain Fleury","Arts & Métiers Sciences et Technologies"
"Charles Mille","Arts & Métiers Sciences et Technologies"
"Simon Richir","Arts & Métiers Sciences et Technologies"
"Anna Ledgard","Artsadmin"
