"university_name","author_name","total_score"
"Albert Einstein Center for Fundamental Physics","Monika Hager","18.9774480642202313"
"Allen Institute for AI","Joseph Chee Chang","34.3061278833566917"
"Allen Institute for AI","Jonathan Bragg","15.3286798191364604"
"Allen Institute for AI","Matt Latzke","15.3286798191364604"
"Allen Institute for AI","Faeze Brahman","9.4887240321101157"
"Amazon Center for Music Research, Ubiquitous Music Group","Marcello Messina","15.0000000000000000"
"Amazon Center for Music Research, Ubiquitous Music Group","Luzilei Aliel","12.8758562578395565"
"Amazon Center for Music Research, Ubiquitous Music Group","Ivan Simurra","6.4379281289197783"
"Amazon Center for Music Research, Ubiquitous Music Group","Brendah Freitas","6.4379281289197783"
"Amazon Center for Music Research, Ubiquitous Music Group","Damián Keller","4.2919520859465188"
"Amherst College","Brian House","60.0000000000000000"
"Analema Group","Evgenia Emets","15.3286798191364604"
"Anhui Renhe Data Technology Co., Ltd.","Yena Ma","12.2629438553091683"
"Anhui University of Finance and Economics","Chao Jiang","12.8758562578395565"
"Anna University","Niveditha Parthasarathy","60.0000000000000000"
"Anna University","Yogesh Palanichamy","36.9070246428542570"
"Anthropic","Johannes Schickling","18.9774480642202313"
"Anthropic","Nicholas Schiefer","18.9774480642202313"
"Anthropocene Cookbook","Stahl Stenslie","40.0000000000000000"
"Anthropocene Cookbook","Zane Cerpina","32.3023415476180857"
"Appalachian State University","Taekyeom Lee","60.0000000000000000"
"Apple","Amanda Swearngin","12.8758562578395565"
"Apple","Eldon Schoop","12.8758562578395565"
"Apple","Jeffrey Bigham","12.8758562578395565"
"Apple","Jeffrey Nichols","12.8758562578395565"
"ArchCave","Jooyoung Oh","60.0000000000000000"
"Archives Portal Europe Foundation","Kerstin Arnold","18.9774480642202313"
"Argonne National Laboratory","Joseph A. Insley","30.0000000000000000"
"Aristotle University of Thessaloniki","Tasos Angelopoulos","60.0000000000000000"
"Aristotle University of Thessaloniki","Panayiota Konstantinakou","25.0000000000000000"
"Aristotle University of Thessaloniki","Panagiotis Dafiotis","25.0000000000000000"
"Aristotle University of Thessaloniki","Panagiota Koulali","5.7233998091552655"
"Aristotle University of Thessaloniki","Kalliopi Valsamidou","5.7233998091552655"
"Arizona State University","Weidi Zhang","120.0000000000000000"
"Arizona State University","Pamela Winfrey","60.0000000000000000"
"Arizona State University","Danah Henriksen","60.0000000000000000"
"Arizona State University","G. Mauricio Mejía","60.0000000000000000"
"Arizona State University","Meredith Drum","60.0000000000000000"
"Arizona State University","Rachel Bowditch","60.0000000000000000"
"Arizona State University","Sujin Kim","60.0000000000000000"
"Arizona State University","Karen Jean Martinson","36.9070246428542570"
"Arizona State University","Jenny Strickland","36.9070246428542570"
"Arizona State University","Punya Mishra","36.9070246428542570"
"Arizona State University","Yumeng Xie","18.9774480642202313"
"Arizona State University","Carlo Maley","18.9774480642202313"
"Arizona State University","Athena Aktipis","18.9774480642202313"
"Arizona State University","Stacey Kuznetsov","16.6666666666666667"
"Arizona State University","Jennifer Weiler","16.6666666666666667"
"Arizona State University","Todd Ingalls","16.6666666666666667"
"ArkéoTopia","Jean Olivier Gransard-Desmond","15.3286798191364604"
"Ars Astronautica","Arthur R. Woods","60.0000000000000000"
"Art and Science Studio LancelMaat","Karen A. Lancel","30.0000000000000000"
"Art and Science Studio LancelMaat","Hermen J. Maat","25.0000000000000000"
"Art Eye-D Associates LLC","Steven J. Frank","60.0000000000000000"
"Art Eye-D Associates LLC","Andrea M. Frank","36.9070246428542570"
"Art Plus Code Inc","Alexandre Quessy","9.7790731887753041"
"ArtbyMLO","Martin Lukas Ostachowski","8.7371250542002350"
"ARTENSO","Sylvain Martet","60.0000000000000000"
"ARTENSO","Jonathan Rouleau","36.9070246428542570"
"ArtEZ University of the Arts","Agnieszka Anna Wołodźko","60.0000000000000000"
"Artpool Art Research Center","Flóra Barkóczi","20.0000000000000000"
"Arts & Métiers Sciences et Technologies","Charles Mille","60.0000000000000000"
"Arts & Métiers Sciences et Technologies","Olivier Christmann","18.9774480642202313"
"Arts & Métiers Sciences et Technologies","Simon Richir","18.9774480642202313"
